"id_loja","nm_fantasia","nm_nome_loja","fl_produtos_especiais","nm_inscricao_estadual","tx_website","quantidade_skus","op_type","dt_process_stage","partition_ano_mes"
1150,MBonita E-Commerce LTDA,MBonita E-Commerce LTDA,"0","262296802",www.mbonita.com.br,50,I,2023-11-27 00:01:03.000,"197001"
1177,General Smart Case,General Smart Case,"0","654.193.460.119",,2000,I,2023-11-27 00:01:03.000,"197001"
499,EXMEDI,EXMEDI,"1","41209887463",www.exmedi.com.br,50,I,2023-11-27 00:01:03.000,"197001"
1435,Solu Distribuidora,Solu Distribuidora,"0","46967600044",solushop.co,1000,I,2023-11-27 00:01:03.000,"197001"
274,DELHI ESPECIARIAS,DELHI,"0","125127593113",,100,I,2023-11-27 00:01:03.000,"197001"
142,Espaço Oriente,Espaço Oriente,"0","908889843916",,1000,I,2023-11-27 00:01:03.000,"197001"
338,Saúde E Bem Estar,Saúde E Bem Estar,"0","46.336.612000150",,100,I,2023-11-27 00:01:03.000,"197001"
291,LUXO PERFUMES IMPORTADOS,LUXO PERFUMES IMPORTADOS,"0","121.192.691.118",,150,I,2023-11-27 00:01:03.000,"197001"
614,Le Perfum Importados,Le Perfum Importados,"0","31.936.478000151",,30,I,2023-11-27 00:01:03.000,"197001"
491,LUCKAU CHOCOLATES,LUCKAU CHOCOLATES,"0","123844961119",www.luckau.com.br,20,I,2023-11-27 00:01:03.000,"197001"
976,Della's Beauty Cosméticos e Maquiagens,Della's Beauty Cosméticos e Maquiagens,"0","26.239.333",,30,I,2023-11-27 00:01:03.000,"197001"
379,KANITZ COSMÉTICOS,LOJA KANITZ,"1","79019283",eee.lojakanitz.com.br,150,I,2023-11-27 00:01:03.000,"197001"
718,Daso Company,Daso,"0","34918190065",,20,I,2023-11-27 00:01:03.000,"197001"
1095,Eolias Health,Eolias Health,"0","635.780.017.118",,7,I,2023-11-27 00:01:03.000,"197001"
390,Solara Shop,SolaraShop,"0","26.180.1465",www.solarashop.com,500,I,2023-11-27 00:01:03.000,"197001"
366,Biouté,Biouté,"1","258208775",www.bioute.com.br,600,I,2023-11-27 00:01:03.000,"197001"
416,Drogacosméticos,Drogacosméticos,"0","252547241",,500,I,2023-11-27 00:01:03.000,"197001"
237,sabordoamor,Natalice sousa,"0","695046444115",https://loja.eniesse.store,30,I,2023-11-27 00:01:03.000,"197001"
631,SYMBIO NUTRITION,SYMBIO NUTRITION,"0","195.717.102",,1,I,2023-11-27 00:01:03.000,"197001"
858,Rituária,Rituária,"1","129567506111",www.rituaria.com.br,5,I,2023-11-27 00:01:03.000,"197001"
254,ALLPERFUMESS,ALLPERFUMESS,"0","310486024118",,1000,I,2023-11-27 00:01:03.000,"197001"
773,JA COSMETICOS,JA COSMETICOS,"0","10.811.5321",www.jacosmeticos.com,500,I,2023-11-27 00:01:03.000,"197001"
834,LABCITY,LABCITY PRODUTOS,"0","0034667170034",,5,I,2023-11-27 00:01:03.000,"197001"
674,ClickPix,Naturalvil,"0","120053607115",,50,I,2023-11-27 00:01:03.000,"197001"
1315,Farmácia Saudável,Farmácia Saudável,"0","214167660115",https://farmaciasaudavel.com.br,160,I,2023-11-27 00:01:03.000,"197001"
996,Magazines,MAGAZINES E DEPARTAMENTOS LTDA,"0","636457993116",,900,I,2023-11-27 00:01:03.000,"197001"
1343,Gaucha Farma,Gaucha Farma,"0","0000",,10000,I,2023-11-27 00:01:03.000,"197001"
1112,Farma 24H,Farma 24h,"0","9073377665",,1500,I,2023-11-27 00:01:03.000,"197001"
1455,Laboderm Skincare,Laboderm Skincare,"0","004551938.0007",,8,I,2023-11-27 00:01:03.000,"197001"
1454,Juliana Bella Beleza,Juliana Bella Beleza,"0","712230261114",,300,I,2023-11-27 00:01:03.000,"197001"
1151,BADA STORE COMERCIO DIGITAL,Bada Shop,"0","12.964.013",,100,I,2023-11-27 00:01:03.000,"197001"
864,ARCOE Negócios,ARCOE,"0","119.767.168.119",arcoe.com.br,100,I,2023-11-27 00:01:03.000,"197001"
759,DUMONT SIMULADORES,DUMONT SIMULADORES,"0","799170717110",www.dumontsimuladores.com.br,250,I,2023-11-27 00:01:03.000,"197001"
478,Verditerra,Verditerra,"0","138153028118",,2000,I,2023-11-27 00:01:03.000,"197001"
627,Phormulatus Farmácia,Phormulatus Farmácia,"1","257960961",https://www.phormulatus.com.br,95,I,2023-11-27 00:01:03.000,"197001"
968,Lipolabs Negócios de Saúde e Bem Estar,Amaz Group,"1","141.302.554.116",,10,I,2023-11-27 00:01:03.000,"197001"
1166,Happie & Co,Happie & Co,"1","123.553.043.114",www.happieco.com.br,10,I,2023-11-27 00:01:03.000,"197001"
884,astralimp,astralimp,"0","209926291114",,10,I,2023-11-27 00:01:03.000,"197001"
392,KING'S IMPORTED PERFUMES,KING'S IMPORTED PERFUMES,"0","129339445119",www.kingsmodaecia.com.br,500,I,2023-11-27 00:01:03.000,"197001"
603,Apta Cosméticos,Apta Cosméticos,"1","90955023882",aptacosmeticos.com,100,I,2023-11-27 00:01:03.000,"197001"
1383,Suplementos BMF,Suplementos BMF,"0","262280370",www.suplementosbmf.com.br,65,I,2023-11-27 00:01:03.000,"197001"
1128,whey,wheyclub,"1","149568963111",,5,I,2023-11-27 00:01:03.000,"197001"
169,Beleza Viva Cosméticos,Beleza Viva Cosméticos,"0","140560815116",https://minhaloja.eudora.com.br/andreia983,1000,I,2023-11-27 00:01:03.000,"197001"
919,KMSHOP COSMETICOS,Kmshop,"0","392347343111",WWW.KMSHOP.COM.BR,40,I,2023-11-27 00:01:03.000,"197001"
693,Cozinha da Mary,Glamour Cosmeticos e Cia,"0","48721434000107",,300,I,2023-11-27 00:01:03.000,"197001"
609,Maxme Bio,maxme.bio,"0","004006214.0078",www.maxme.bio,14,I,2023-11-27 00:01:03.000,"197001"
850,Shopping Hospitalar,Shopping Hospitalar,"0","003981343.0044",,50,I,2023-11-27 00:01:03.000,"197001"
1154,Mira acessórios,Mira acessórios,"0","681007600112",,2,I,2023-11-27 00:01:03.000,"197001"
1290,RN Cosméticos Ltda,RN Cosméticos Ltda,"0","798391393118",,150,I,2023-11-27 00:01:03.000,"197001"
1055,Pede Saudável Suplementos,Pede Saudável Suplementos,"0","262384477",,50,I,2023-11-27 00:01:03.000,"197001"
641,your style,jonas estevam,"0","260635146",,1000,I,2023-11-27 00:01:03.000,"197001"
195,Império dos Girassóis,Império dos Girassóis,"1","9056491675",www.imperiodosgirassois.com.br,30,I,2023-11-27 00:01:03.000,"197001"
943,Clorofitum Cosméticos,Clorofitum Cosméticos,"1","7131368910075",www.clorofitum.com.br,132,I,2023-11-27 00:01:03.000,"197001"
406,Humalin,Humalin,"1","209.407.610.117",www.humalimentar.com.br,40,I,2023-11-27 00:01:03.000,"197001"
294,Glamorim Perfumes e Cosméticos,glamorim,"0","08043226000155",glamorim.com.br,50,I,2023-11-27 00:01:03.000,"197001"
320,Drogarias Viva Mais,MB Drogarias,"0","80068263",www.mbdrogarias.com.br,100,I,2023-11-27 00:01:03.000,"197001"
516,Sacola Chic Perfumaria,Sacola Chic,"0","109406290",www.sacolachic.com.br,2000,I,2023-11-27 00:01:03.000,"197001"
740,Lavoê Brasil,Lavoê Brasil,"0","9089460902",www.lavoe.com.br,11,I,2023-11-27 00:01:03.000,"197001"
667,La Bourdonnais,La Bourdonnais,"1","130.950.391.114",,4,I,2023-11-27 00:01:03.000,"197001"
404,Embalixo,Embalixo Loja Oficial,"0","748.316.166.119",https://www.embalixo.com.br,6,I,2023-11-27 00:01:03.000,"197001"
615,União Magistral,União Magistral,"1","76.111.219",https://www.uniaomagistral.com.br,40,I,2023-11-27 00:01:03.000,"197001"
1212,SiiM Saúde,SiiM Saúde,"0","41416775000120",https://siimsaude.com.br,2,I,2023-11-27 00:01:03.000,"197001"
1389,Daniel Barbosa Ferraz,books express,"0","176689684",,45,I,2023-11-27 00:01:03.000,"197001"
1337,ST COMÉRCIO,ST COMÉRCIO,"0","11810365",www.sensualtoys.com.br,40,I,2023-11-27 00:01:03.000,"197001"
490,"45Mix E-shop","45Mix E-shop LTDA","0","128663548110",,500,I,2023-11-27 00:01:03.000,"197001"
1264,PN SAUDE,PN SAUDE,"0","121.919.788.112",,25,I,2023-11-27 00:01:03.000,"197001"
93,AOFIO,AOFIO HAIR PERFORMANCE,"0","623258152111",WWW.AOFIO.COM.BR,30,I,2023-11-27 00:01:03.000,"197001"
231,drogaria novo itu,droganovoitu,"0","387056966114",,30,I,2023-11-27 00:01:03.000,"197001"
161,Lautz Materiais para MTC,Lautz,"1","637083527110",,5000,I,2023-11-27 00:01:03.000,"197001"
229,Requinte Hair Cosmeticos,Requinte Hair Cosmeticos,"0","255.316.535.114",www.requintehaircosmeticos.com.br,5000,I,2023-11-27 00:01:03.000,"197001"
318,Original Eco,Original Eco,"0","140093223110",https://www.original-eco.com.br,100,I,2023-11-27 00:01:03.000,"197001"
845,Cabelos dos sonhos,Força Na Peruca,"0","189190677118",,5,I,2023-11-27 00:01:03.000,"197001"
880,PERON MEDICAL,PERON MEDICAL DISTRIBUIDORA,"0","9100561660",,10,I,2023-11-27 00:01:03.000,"197001"
176,Felice Comércio,Felice Cosméticos,"0","206586045119",,100,I,2023-11-27 00:01:03.000,"197001"
347,InMotion Cosméticos By Maiara Mazo,InMotion Cosméticos By Maiara Mazo,"0","536153637114",maiaramazo.com.br,5,I,2023-11-27 00:01:03.000,"197001"
277,BEAUTH STORE,Beauth Store,"0","28.468.3310",,50,I,2023-11-27 00:01:03.000,"197001"
1425,nutriskin,nutriskin,"0","52.592.382000193",,100,I,2023-11-27 00:01:03.000,"197001"
370,Feel,Feel,"0","407.771.229.117",www.somosfeel.com.br,5,I,2023-11-27 00:01:03.000,"197001"
857,Store Cosméticos,Store Cosméticos,"0","125.273.377.117",,100,I,2023-11-27 00:01:03.000,"197001"
